recipe_id,recipe_name,recipe_url,ingredients,cook_time,calorie_count,review_count,overall_rating
76500,joes-crab-shack-crab-dip,https://www.allrecipes.com/recipe/76500/joes-crab-shack-crab-dip/,"['1 (12 inch) pre-baked pizza crust', '1 1/2 cups shredded mozzarella cheese', '1 (14 ounce) jar pizza sauce', '1 (12 ounce) package Johnsonville® Three Cheese Italian Style Chicken Sausage, sliced', '1 (3.5 ounce) package sliced pepperoni']",30 m,505  cals,0 reviews,0
76501,pina-colada-dipping-sauce-duplicate-9292004-13630-am,https://www.allrecipes.com/recipe/76501/pina-colada-dipping-sauce-duplicate-9292004-13630-am/,"['1 (12 inch) pre-baked pizza crust', '1 1/2 cups shredded mozzarella cheese', '1 (14 ounce) jar pizza sauce', '1 (12 ounce) package Johnsonville® Three Cheese Italian Style Chicken Sausage, sliced', '1 (3.5 ounce) package sliced pepperoni']",30 m,505  cals,0 reviews,0
76502,cheese-cake-to-die-for,https://www.allrecipes.com/recipe/76502/cheese-cake-to-die-for/,"['1 (12 inch) pre-baked pizza crust', '1 1/2 cups shredded mozzarella cheese', '1 (14 ounce) jar pizza sauce', '1 (12 ounce) package Johnsonville® Three Cheese Italian Style Chicken Sausage, sliced', '1 (3.5 ounce) package sliced pepperoni']",30 m,505  cals,0 reviews,0
76503,stuffed-french-toast-duplicate-9292004-13638-am,https://www.allrecipes.com/recipe/76503/stuffed-french-toast-duplicate-9292004-13638-am/,"['1 (12 inch) pre-baked pizza crust', '1 1/2 cups shredded mozzarella cheese', '1 (14 ounce) jar pizza sauce', '1 (12 ounce) package Johnsonville® Three Cheese Italian Style Chicken Sausage, sliced', '1 (3.5 ounce) package sliced pepperoni']",30 m,505  cals,0 reviews,0
76504,stuffed-pretzels,https://www.allrecipes.com/recipe/76504/stuffed-pretzels/,"['1 (12 inch) pre-baked pizza crust', '1 1/2 cups shredded mozzarella cheese', '1 (14 ounce) jar pizza sauce', '1 (12 ounce) package Johnsonville® Three Cheese Italian Style Chicken Sausage, sliced', '1 (3.5 ounce) package sliced pepperoni']",30 m,505  cals,0 reviews,0
76505,lebanese-garlic-sauce,https://www.allrecipes.com/recipe/76505/lebanese-garlic-sauce/,"['1 (12 inch) pre-baked pizza crust', '1 1/2 cups shredded mozzarella cheese', '1 (14 ounce) jar pizza sauce', '1 (12 ounce) package Johnsonville® Three Cheese Italian Style Chicken Sausage, sliced', '1 (3.5 ounce) package sliced pepperoni']",30 m,505  cals,0 reviews,0
76506,quick-and-easy-peanut-butter-pie,https://www.allrecipes.com/recipe/76506/quick-and-easy-peanut-butter-pie/,"['1 (12 inch) pre-baked pizza crust', '1 1/2 cups shredded mozzarella cheese', '1 (14 ounce) jar pizza sauce', '1 (12 ounce) package Johnsonville® Three Cheese Italian Style Chicken Sausage, sliced', '1 (3.5 ounce) package sliced pepperoni']",30 m,505  cals,0 reviews,0
76507,cranberry-cream-cheese-turkey-wrap-sandwich,https://www.allrecipes.com/recipe/76507/cranberry-cream-cheese-turkey-wrap-sandwich/,"['1 (12 inch) pre-baked pizza crust', '1 1/2 cups shredded mozzarella cheese', '1 (14 ounce) jar pizza sauce', '1 (12 ounce) package Johnsonville® Three Cheese Italian Style Chicken Sausage, sliced', '1 (3.5 ounce) package sliced pepperoni']",30 m,505  cals,0 reviews,0
76508,jalapeno-ranch-dressing,https://www.allrecipes.com/recipe/76508/jalapeno-ranch-dressing/,"['1 (12 inch) pre-baked pizza crust', '1 1/2 cups shredded mozzarella cheese', '1 (14 ounce) jar pizza sauce', '1 (12 ounce) package Johnsonville® Three Cheese Italian Style Chicken Sausage, sliced', '1 (3.5 ounce) package sliced pepperoni']",30 m,505  cals,0 reviews,0
76509,easy-cold-marinated-green-beans,https://www.allrecipes.com/recipe/76509/easy-cold-marinated-green-beans/,"['1 (12 inch) pre-baked pizza crust', '1 1/2 cups shredded mozzarella cheese', '1 (14 ounce) jar pizza sauce', '1 (12 ounce) package Johnsonville® Three Cheese Italian Style Chicken Sausage, sliced', '1 (3.5 ounce) package sliced pepperoni']",30 m,505  cals,0 reviews,0
76510,fun-quesedialla,https://www.allrecipes.com/recipe/76510/fun-quesedialla/,"['1 (12 inch) pre-baked pizza crust', '1 1/2 cups shredded mozzarella cheese', '1 (14 ounce) jar pizza sauce', '1 (12 ounce) package Johnsonville® Three Cheese Italian Style Chicken Sausage, sliced', '1 (3.5 ounce) package sliced pepperoni']",30 m,505  cals,0 reviews,0
76511,leftover-chili-pie,https://www.allrecipes.com/recipe/76511/leftover-chili-pie/,"['1 (12 inch) pre-baked pizza crust', '1 1/2 cups shredded mozzarella cheese', '1 (14 ounce) jar pizza sauce', '1 (12 ounce) package Johnsonville® Three Cheese Italian Style Chicken Sausage, sliced', '1 (3.5 ounce) package sliced pepperoni']",30 m,505  cals,0 reviews,0
76512,authentic-thai-cashew-chicken,https://www.allrecipes.com/recipe/76512/authentic-thai-cashew-chicken/,"['1 tablespoon canola oil', '1 large yellow onion, chopped', '1 large yellow bell pepper, chopped', '3 tablespoons ketchup', '2 tablespoons oyster sauce', '1 tablespoon soy sauce', '1/3 cup chicken broth', '1 teaspoon white sugar', '1 teaspoon Thai garlic chile paste', '4 skinless, boneless chicken breast halves - cut into bite-size pieces', '1 zucchini, chopped', '1 yellow squash, chopped', '6 ounces broccoli, chopped', '8 ounces fresh mushrooms, quartered', '1/2 cup unsalted cashew nuts']",30 m,369  cals,72 reviews,4.21212101
