recipe_id,recipe_url,calories,fat,carb,protein,cholesterol,sodium
220000,https://www.allrecipes.com/recipe/220000/tiramisu-angel-cake/,398 calories;,16.3 ,55.1,5.8 ,53 ,587 
220001,https://www.allrecipes.com/recipe/220001/kiss-from-a-rose-rose-sauce/,344 calories;,30.8 ,14.6,5.2 ,110 ,712 
220002,https://www.allrecipes.com/recipe/220002/halupki-stuffed-cabbage/,468 calories;,29.8 ,21.7,28.1 ,137 ,715 
220003,https://www.allrecipes.com/recipe/220003/homestyle-stuffed-peppers/,556 calories;,25.5 ,38.6,43.4 ,164 ,1510 
220004,https://www.allrecipes.com/recipe/220004/angel-family-chicken-soup-with-matzo-balls/,,,,,,
220005,https://www.allrecipes.com/recipe/220005/sweet-apple-chicken-sausage-endive-blueberry-salad-with-toasted-pecans/,262 calories;,14.6 ,19.9,14.5 ,55 ,721 
220006,https://www.allrecipes.com/recipe/220006/greek-salad-with-spinach-feta-chicken-sausage/,148 calories;,8.2 ,6.2,12.8 ,53 ,466 
220007,https://www.allrecipes.com/recipe/220007/roasted-garlic-chicken-sausage-caesar-salad/,371 calories;,21.4 ,12.1,31.3 ,140 ,1051 
220008,https://www.allrecipes.com/recipe/220008/sundried-tomato-chicken-sausage-ragu-with-roasted-eggplant-and-tomato/,184 calories;,9.7 ,13,9.5 ,36 ,422 
220009,https://www.allrecipes.com/recipe/220009/spicy-jalapeno-whole-wheat-pasta-toss/,389 calories;,14.5 ,45.6,22.7 ,58 ,524 
220010,https://www.allrecipes.com/recipe/220010/roasted-broccoli-crispy-polenta-with-roasted-pepper-asiago-chicken-sausage/,180 calories;,8.7 ,14.2,11.4 ,38 ,588 
220011,https://www.allrecipes.com/recipe/220011/grilled-chipotle-chorizo-chicken-sausage-shrimp-kabobs/,551 calories;,19.5 ,59.5,30.9 ,158 ,526 
220012,https://www.allrecipes.com/recipe/220012/pizza-alfredo-with-roasted-vegetables/,280 calories;,13.2 ,20.9,20.5 ,65 ,672 
220013,https://www.allrecipes.com/recipe/220013/basmati-and-snow-pea-stir-fry-with-teriyaki-chicken-meatballs/,277 calories;,8.6 ,32.7,15 ,51 ,634 
220014,https://www.allrecipes.com/recipe/220014/lobster-mashed-potatoes/,503 calories;,18.3 ,43.6,40.2 ,178 ,5336 
220017,https://www.allrecipes.com/recipe/220017/slim-fit-king-cake/,244 calories;,3.5 ,46.1,7.8 ,17 ,326 
220018,https://www.allrecipes.com/recipe/220018/grits-a-ya-ya/,839 calories;,70.5 ,21.8,29.6 ,322 ,1083 
220019,https://www.allrecipes.com/recipe/220019/slow-cooker-chicken-and-sausage-gumbo/,447 calories;,33 ,13,24.2 ,65 ,1083 
220020,https://www.allrecipes.com/recipe/220020/vegan-say-what-gumbo/,211 calories;,10 ,27.1,6 ,0 ,948 
220021,https://www.allrecipes.com/recipe/220021/hawaiian-nut-cookies/,183 calories;,5.8 ,30.3,2.6 ,29 ,168 
220022,https://www.allrecipes.com/recipe/220022/hot-passion-pomegranate-martini/,,,,,,
220023,https://www.allrecipes.com/recipe/220023/muddy-hearts/,348 calories;,20.6 ,38.3,7.6 ,25 ,158 
220024,https://www.allrecipes.com/recipe/220024/lots-of-chocolate-cherry-cookies/,130 calories;,5.4 ,19.4,1.6 ,18 ,51 
